,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views
,Back in Action,Yes,2025-01-17,"313,000,000",1:54,"164,700,000"
,STRAW,Yes,2025-06-06,"185,200,000",1:48,"102,900,000"
,The Life List,Yes,2025-03-28,"198,900,000",2:05,"95,500,000"
,Exterritorial,Yes,2025-04-30,"159,000,000",1:49,"87,500,000"
,Havoc,Yes,2025-04-25,"154,900,000",1:47,"86,900,000"
,The Secret Life of Pets 2,No,,"106,800,000",1:26,"74,500,000"
,The Electric State,Yes,2025-03-14,"158,200,000",2:08,"74,200,000"
,Counterattack // Contraataque,Yes,2025-02-28,"101,000,000",1:25,"71,300,000"
,Ad Vitam,Yes,2025-01-10,"114,000,000",1:38,"69,800,000"
,Despicable Me 4,No,,"109,400,000",1:34,"69,800,000"
,The Secret Life of Pets,No,,"95,600,000",1:27,"65,900,000"
,Kinda Pregnant,Yes,2025-02-05,"98,100,000",1:40,"58,900,000"
,Nonnas,Yes,2025-05-09,"109,500,000",1:54,"57,600,000"
,iHostage,Yes,2025-04-18,"97,600,000",1:42,"57,400,000"
,La Dolce Villa,Yes,2025-02-13,"91,500,000",1:39,"55,500,000"
,The Boss Baby,No,,"90,100,000",1:38,"55,200,000"
,Minions,No,,"82,100,000",1:31,"54,100,000"
,Shrek,No,,"80,200,000",1:30,"53,500,000"
,Plankton: The Movie,Yes,2025-03-07,"74,200,000",1:28,"50,600,000"
,Despicable Me 3,No,,"73,600,000",1:30,"49,100,000"
,Carry-On,Yes,2024-12-13,"95,400,000",2:00,"47,700,000"
,Despicable Me 2,No,,"75,000,000",1:38,"45,900,000"
,Shrek 2,No,,"69,000,000",1:33,"44,500,000"
,Bad Influence // Mala influencia,Yes,2025-05-09,"78,600,000",1:47,"44,100,000"
,K.O.,Yes,2025-06-06,"63,100,000",1:27,"43,500,000"
,A Widow's Game // La viuda negra,Yes,2025-05-30,"83,900,000",2:02,"41,300,000"
,Sing (2016),No,,"73,900,000",1:48,"41,100,000"
,Venom: The Last Dance,No,,"71,900,000",1:49,"39,600,000"
,The Super Mario Bros. Movie,No,,"59,700,000",1:32,"38,900,000"
,The Croods,No,,"62,400,000",1:38,"38,200,000"
,KPop Demon Hunters,Yes,2025-06-20,"61,100,000",1:40,"36,700,000"
,Despicable Me,No,,"57,100,000",1:35,"36,100,000"
,Honeymoon Crasher // Lune de miel avec ma mère,Yes,2025-02-12,"55,200,000",1:35,"34,900,000"
,PAW Patrol: The Mighty Movie,No,,"50,700,000",1:28,"34,600,000"
,Kraven the Hunter,No,,"73,000,000",2:07,"34,500,000"
,Demon City // Demon City 鬼ゴロシ,Yes,2025-02-27,"60,500,000",1:48,"33,600,000"
,The Emoji Movie,No,,"48,700,000",1:27,"33,600,000"
,Bullet Train Explosion // 新幹線大爆破,Yes,2025-04-23,"76,300,000",2:17,"33,400,000"
,Bee Movie,No,,"51,200,000",1:32,"33,400,000"
,A Deadly American Marriage,Yes,2025-05-09,"55,500,000",1:43,"32,300,000"
,Last Bullet // Balle perdue 3,Yes,2025-05-07,"59,000,000",1:53,"31,300,000"
,Mission: Impossible - Dead Reckoning,No,,"85,000,000",2:44,"31,100,000"
,Rebel Ridge,Yes,2024-09-06,"68,500,000",2:12,"31,100,000"
,The Equalizer 2,No,,"59,800,000",2:01,"29,700,000"
,Squad 36 // Bastion 36,Yes,2025-02-28,"61,100,000",2:05,"29,300,000"
,The Six Triple Eight,Yes,2024-12-20,"62,300,000",2:10,"28,800,000"
,Lucca's World // Los dos hemisferios de Lucca,Yes,2025-01-31,"46,600,000",1:37,"28,800,000"
,Hotel Transylvania 2,No,,"42,700,000",1:30,"28,500,000"
,The Union,Yes,2024-08-16,"51,600,000",1:49,"28,400,000"
,Puss in Boots: The Last Wish,No,,"47,600,000",1:42,"28,000,000"
,Uncharted (2022),No,,"53,300,000",1:56,"27,600,000"
,Hotel Transylvania 3: Summer Vacation,No,,"44,200,000",1:37,"27,300,000"
,The Twister: Caught in the Storm,Yes,2025-03-19,"40,500,000",1:29,"27,300,000"
,Sing: Thriller,Yes,2024-10-16,"5,400,000",0:12,"27,000,000"
,We Can Be Heroes,Yes,2020-12-25,"45,200,000",1:41,"26,900,000"
,Titan: The OceanGate Submersible Disaster,Yes,2025-06-11,"49,300,000",1:52,"26,400,000"
,Sonic the Hedgehog (2020),No,,"44,500,000",1:41,"26,400,000"
,Dr. Seuss' The Grinch,No,,"37,100,000",1:26,"25,900,000"
,Trolls Band Together,No,,"38,600,000",1:32,"25,200,000"
,Den of Thieves 2: Pantera,No,,"59,900,000",2:24,"25,000,000"
,Number 24 // Nr. 24,No,2025-01-01,"45,100,000",1:52,"24,200,000"
