,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,english,searched,tconst,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
0,Back in Action,Yes,2025-01-17,"313,000,000",1:54,"164,700,000",Back in Action,Back in Action,tt21191806,Back in Action,2025.0,movie,Back in Action,Back in Action,2025,114,"Action,Comedy"
1,STRAW,Yes,2025-06-06,"185,200,000",1:48,"102,900,000",STRAW,STRAW,tt32550101,STRAW,2025.0,movie,Straw,Straw,2025,105,"Drama,Thriller"
2,The Life List,Yes,2025-03-28,"198,900,000",2:05,"95,500,000",The Life List,The Life List,tt2172954,The Life List,2025.0,movie,The Life List,The Life List,2025,123,"Comedy,Drama,Romance"
3,Exterritorial,Yes,2025-04-30,"159,000,000",1:49,"87,500,000",Exterritorial,Exterritorial,tt30876483,Exterritorial,2025.0,movie,Exterritorial,Exterritorial,2025,109,"Action,Mystery,Thriller"
4,Havoc,Yes,2025-04-25,"154,900,000",1:47,"86,900,000",Havoc,Havoc,tt14123284,Havoc,2025.0,movie,Havoc,Havoc,2025,107,"Action,Crime,Drama"
5,The Secret Life of Pets 2,No,,"106,800,000",1:26,"74,500,000",The Secret Life of Pets 2,The Secret Life of Pets 2,tt5113040,The Secret Life of Pets 2,1000.0,movie,The Secret Life of Pets 2,The Secret Life of Pets 2,2019,86,"Adventure,Animation,Comedy"
6,The Electric State,Yes,2025-03-14,"158,200,000",2:08,"74,200,000",The Electric State,The Electric State,tt7766378,The Electric State,2025.0,movie,The Electric State,The Electric State,2025,125,"Action,Adventure,Comedy"
7,Counterattack // Contraataque,Yes,2025-02-28,"101,000,000",1:25,"71,300,000",Counterattack ,Counterattack,tt23648788,Counterattack,2025.0,movie,Counterstrike,Contraataque,2025.0,84.0,"Action,Thriller"
8,Ad Vitam,Yes,2025-01-10,"114,000,000",1:38,"69,800,000",Ad Vitam,Ad Vitam,tt32138452,Ad Vitam,2025.0,movie,Ad Vitam,Ad Vitam,2025,98,"Action,Crime,Drama"
9,Despicable Me 4,No,,"109,400,000",1:34,"69,800,000",Despicable Me 4,Despicable Me 4,tt7510222,Despicable Me 4,1000.0,movie,Despicable Me 4,Despicable Me 4,2024,94,"Adventure,Animation,Comedy"
